CEP,CIDADE,BAIRRO,ENDEREÇO,COMPLEMENTO
60030101,Fortaleza/CE,Centro,Rua São Paulo - de 1005/1006 a 1799/1800,
60030110,Fortaleza/CE,Centro,Rua Luís Hortêncio,
60030120,Fortaleza/CE,Centro,Rua Alfredo Salgado,
60030140,Fortaleza/CE,Centro,Rua Guilherme Rocha - até 845/846,
60030141,Fortaleza/CE,Centro,Rua Guilherme Rocha - de 847/848 ao fim,
60030150,Fortaleza/CE,Centro,Praça José de Alencar,
60030160,Fortaleza/CE,Centro,Rua Liberato Barroso - até 895/896,
60030161,Fortaleza/CE,Centro,Rua Liberato Barroso - de 897/898 ao fim,
60030170,Fortaleza/CE,Centro,Praça Capistrano de Abreu,
60030180,Fortaleza/CE,Centro,Vila José Maria Filomeno,
60030190,Fortaleza/CE,Centro,Travessa do Patrocínio,
60030200,Fortaleza/CE,Centro,Rua Perboyre e Silva,
60030210,Fortaleza/CE,Centro,Galeria São Miguel,
60030220,Fortaleza/CE,Centro,Largo da Assembléia,
60030240,Fortaleza/CE,Centro,Praça dos Martires,
60030900,Fortaleza/CE,Centro,Rua São Paulo 32 , Edifício General Tibúrcio
60030901,Fortaleza/CE,Centro,Rua Liberato Barroso 307 , Edifício Triunfo
60030902,Fortaleza/CE,Centro,Rua Perboyre e Silva 111 , Edifício Alvorada
60030904,Fortaleza/CE,Centro,Rua Senador Alencar 38 2º Andar Sala 205 , Coordenação de Negócios - CONEG
60030905,Fortaleza/CE,Centro,Rua Senador Alencar 38 1º Andar Sala 101 , Diretoria Regional do Ceará - GAB/ECT
60030906,Fortaleza/CE,Centro,Rua Senador Alencar 38 3º Andar Sala 308 , Coordenação de Suporte - COSUP
60030970,Fortaleza/CE,Centro,Rua Senador Alencar 38 , AC Central de Fortaleza
60030971,Fortaleza/CE,Centro,Rua Senador Alencar 38 , AC Filatélica de Fortaleza
60035000,Fortaleza/CE,Centro,Rua Pedro Pereira - até 1033/1034,
60035001,Fortaleza/CE,Centro,Rua Pedro Pereira - de 1035/1036 ao fim,
60035010,Fortaleza/CE,Jacarecanga,Rua Júlio Pinto - até 2259/2260,
60035020,Fortaleza/CE,Centro,Vila Diogo,
60035030,Fortaleza/CE,Centro,Rua Jardim Santa Isabel,
60035040,Fortaleza/CE,Centro,Vila Mitre,
60035050,Fortaleza/CE,Centro,Vila Rosinha,
60035060,Fortaleza/CE,Jacarecanga,Vila João Eudes,
60035070,Fortaleza/CE,Jacarecanga,Vila Rocilda,
60035075,Fortaleza/CE,Jacarecanga,Travessa Sena,
60035078,Fortaleza/CE,Jacarecanga,Avenida Duque de Caxias - de 1802 ao fim - lado par,
60035080,Fortaleza/CE,Jacarecanga,Vila Alice Diniz,
60035090,Fortaleza/CE,Jacarecanga,Vila São Raimundo,
60035100,Fortaleza/CE,Centro,Rua Pedro I - até 931/932,
60035101,Fortaleza/CE,Centro,Rua Pedro I - de 933/934 ao fim,
60035106,Fortaleza/CE,Centro,Rua São Pedro,
60035110,Fortaleza/CE,Centro,Avenida Duque de Caxias - até 1800 - lado par,
60035111,Fortaleza/CE,Centro,Avenida Duque de Caxias - até 1799 - lado ímpar,
60035130,Fortaleza/CE,Centro,Rua General Clarindo de Queiroz - até 1848/1849,
60035131,Fortaleza/CE,Farias Brito,Rua General Clarindo de Queiroz - de 1850/1851 ao fim,
60035140,Fortaleza/CE,Centro,Galeria São Sebastião,
60035160,Fortaleza/CE,Centro,Rua Meton de Alencar - até 1269/1270,
60035161,Fortaleza/CE,Centro,Rua Meton de Alencar - de 1271/1272 ao fim,
60035170,Fortaleza/CE,Centro,Vila Ana de Castro,
60035180,Fortaleza/CE,Centro,Praça Clóvis Beviláqua,
60035190,Fortaleza/CE,Centro,Praça Coração de Jesus,
60035200,Fortaleza/CE,Centro,Galeria Elzanira,
60035210,Fortaleza/CE,Centro,Praça General Murilo Borges,
60035220,Fortaleza/CE,Centro,Travessa Ismênia,
60035230,Fortaleza/CE,Centro,Praça Paula Pessoa,
60035902,Fortaleza/CE,Centro,Rua Pedro Pereira 481 , Banco Brasileiro de Desconto - BRADESCO
60035970,Fortaleza/CE,Centro,Avenida Duque de Caxias 1063 , AC Duque de Caxias
60035971,Fortaleza/CE,Centro,Avenida Duque de Caxias 1063 , CDD Centro
60040000,Fortaleza/CE,Centro,Rua Antônio Pompeu - até 2000 - lado par,
60040001,Fortaleza/CE,Benfica,Rua Antônio Pompeu - de 941 a 1399 - lado ímpar,
60040005,Fortaleza/CE,José Bonifácio,Rua Antônio Pompeu - até 939 - lado ímpar,
60040010,Fortaleza/CE,José Bonifácio,Rua José Gomes de Moura,
